PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Madagascar,,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-02-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Madagascar,,2021-03-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-02-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Mauritius,,2021-03-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-02-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Monaco,,2021-03-14,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-27,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-02-28,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-06,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-11,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-12,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-13,0,0,0,0,0,0,0,0,0,0,0,0
0,New Zealand,,2021-03-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
0,Nicaragua,,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0
